Mes;Consumo Bogotá (m3-mes);Consumo Soacha (m3-mes);Consumo Gachancipá (m3-mes)
ene-23;12,43;7,68;11,40
feb-23;11,32;7,76;11,45
mar-23;11,11;7,63;11,24
abr-23;11,02;7,68;11,27
may-23;11,00;7,61;11,33
jun-23;10,95;7,64;11,36
jul-23;10,96;7,68;11,42
ago-23;10,92;7,71;11,44
sep-23;10,92;7,68;11,53
oct-23;10,91;7,70;11,56
nov-23;10,92;7,70;11,52
dic-23;10,91;7,72;11,52
ene-24;10,84;7,63;11,58
feb-24;10,62;7,73;11,58
mar-24;10,76;7,62;11,45
abr-24;10,72;7,67;11,46
may-24;10,68;7,63;11,45
jun-24;10,46;7,66;11,23
jul-24;;;
ago-24;;;
sep-24;;;
oct-24;;;
nov-24;;;
dic-24;;;
;;;
